RunNumber,BeamType,Nevents,Size,Config,Date,Time,VBB_A1,ITHR_A1,VCASN_A1,THRe_A1,Comment
run284151821_210715151826.raw,120 GeV hardons,45861,28.2MB,A1_3V-conf-10.conf,21.07.15,15:18,-3,51,115,70,
run284153008_210715153013.raw,120 GeV hardons,301796,184.8MB,A1_3V-conf-20.conf,21.07.15,15:30,,,,,.conf not found
run284153009_210715160238.raw,120 GeV hardons,306781,186.6MB,A1_3V-conf-19.conf,21.07.15,16:02,,,,,.conf not found
run284153010_210715180518.raw,120 GeV hardons,301832,184.9MB,A1_3V-conf-18.conf,21.07.15,18:05,,,,,.conf not found
run284153011_210715183734.raw,120 GeV hardons,304539,186.1MB,A1_3V-conf-17.conf,21.07.15,18:37,,,,,.conf not found
run284153012_210715194401.raw,120 GeV hardons,303191,185.4MB,A1_3V-conf-16.conf,21.07.15,19:44,,,,,.conf not found
run284153013_210715203747.raw,120 GeV hardons,301793,184.9MB,A1_3V-conf-15.conf,21.07.15,20:37,,,,,.conf not found
run284153014_210715210142.raw,120 GeV hardons,302506,185.3MB,A1_3V-conf-14.conf,21.07.15,21:01,,,,,.conf not found
run284153015_210715213047.raw,120 GeV hardons,301604,184.8MB,A1_3V-conf-13.conf,21.07.15,21:30,-3,51,130,45,
run284153016_210715215412.raw,120 GeV hardons,302088,185.1MB,A1_3V-conf-12.conf,21.07.15,21:54,-3,51,121,50,
run284153017_210715221647.raw,120 GeV hardons,302174,185.2MB,A1_3V-conf-11.conf,21.07.15,22:16,-3,51,118,60,
run284153018_210715224006.raw,120 GeV hardons,302140,185.1MB,A1_3V-conf-10.conf,21.07.15,22:40,-3,51,115,70,
run284153019_210715230336.raw,120 GeV hardons,302026,185.0MB,A1_3V-conf-9.conf,21.07.15,23:03,-3,51,113,80,
run284153020_210715232750.raw,120 GeV hardons,301328,184.6MB,A1_3V-conf-8.conf,21.07.15,23:27,-3,51,111,90,
run284153021_210715234957.raw,120 GeV hardons,301584,184.7MB,A1_3V-conf-7.conf,21.07.15,23:49,-3,51,109,101,
run284153022_210716001522.raw,120 GeV hardons,301099,184.4MB,A1_3V-conf-6.conf,21.07.16,0:15,-3,51,107,110,
run284153023_210716003728.raw,120 GeV hardons,301576,184.7MB,A1_3V-conf-5.conf,21.07.16,0:37,-3,51,105,140,
run284153024_210716005932.raw,120 GeV hardons,302028,185.0MB,A1_3V-conf-4.conf,21.07.16,0:59,-3,51,104,180,
run284153025_210716012127.raw,120 GeV hardons,302351,185.2MB,A1_3V-conf-3.conf,21.07.16,1:21,-3,51,103,210,
run284153026_210716014342.raw,120 GeV hardons,301574,184.7MB,A1_3V-conf-2.conf,21.07.16,1:43,-3,51,102,250,
run284153027_210716020448.raw,120 GeV hardons,302073,185.0MB,A1_3V-conf-1.conf,21.07.16,2:04,-3,51,101,350,
run284153028_210716022654.raw,120 GeV hardons,303237,185.6MB,A1_3V-conf-0.conf,21.07.16,2:26,-3,51,100,400,
run285113316_210716113321.raw,120 GeV hardons,319741,190.0MB,A1_0V-conf-0.conf,21.07.16,11:33,0,51,45,341,
run285113317_210716181444.raw,120 GeV hardons,302716,185.2MB,A1_0V-conf-1.conf,21.07.16,18:14,0,51,46,292,
run285113318_210716183119.raw,120 GeV hardons,304149,186.1MB,A1_0V-conf-2.conf,21.07.16,18:31,0,51,47,252,
run285113319_210716184223.raw,120 GeV hardons,304825,186.5MB,A1_0V-conf-3.conf,21.07.16,18:42,0,51,48,220,
run285113320_210716185019.raw,120 GeV hardons,302823,185.3MB,A1_0V-conf-4.conf,21.07.16,18:50,0,51,50,172,
run285113321_210716185922.raw,120 GeV hardons,304400,186.4MB,A1_0V-conf-5.conf,21.07.16,18:59,0,51,52,140,
run285113322_210716190608.raw,120 GeV hardons,301926,184.9MB,A1_0V-conf-6.conf,21.07.16,19:06,0,51,54,117,
run285113323_210716191303.raw,120 GeV hardons,302279,184.9MB,A1_0V-conf-7.conf,21.07.16,19:13,0,51,56,100,
run285113324_210716193207.raw,120 GeV hardons,307530,188.4MB,A1_0V-conf-8.conf,21.07.16,19:32,0,51,58,88,
run285113325_210716193902.raw,120 GeV hardons,303381,185.9MB,A1_0V-conf-9.conf,21.07.16,19:39,0,51,60,78,
run285113326_210716194636.raw,120 GeV hardons,303348,186.2MB,A1_0V-conf-10.conf,21.07.16,19:46,0,51,63,66,
run285113327_210716195730.raw,120 GeV hardons,300711,185.1MB,A1_0V-conf-11.conf,21.07.16,19:57,0,51,66,56,
run285113328_210716200415.raw,120 GeV hardons,300504,187.0MB,A1_0V-conf-12.conf,21.07.16,20:04,0,51,72,40,
run285201447_210716201451.raw,120 GeV hardons,306289,187.6MB,A1_0V-conf-7.conf,21.07.16,20:14,0,51,56,100,
run285201448_210716202136.raw,120 GeV hardons,305775,187.2MB,A1_0V-conf-7.conf,21.07.16,20:21,0,51,56,100,
run285201449_210716203010.raw,120 GeV hardons,301018,184.3MB,A1_0V-conf-7.conf,21.07.16,20:30,0,51,56,100,
run285201450_210716203633.raw,120 GeV hardons,302574,185.2MB,A1_0V-conf-7.conf,21.07.16,20:36,0,51,56,100,
run285201451_210716204918.raw,120 GeV hardons,304670,186.5MB,A1_0V-conf-7.conf,21.07.16,20:49,0,51,56,100,
run285201452_210716205942.raw,120 GeV hardons,303012,185.5MB,A1_0V-conf-7.conf,21.07.16,20:59,0,51,56,100,
run285201453_210716210626.raw,120 GeV hardons,305183,186.9MB,A1_0V-conf-7.conf,21.07.16,21:06,0,51,56,100,
run285201454_210716211310.raw,120 GeV hardons,303275,185.6MB,A1_0V-conf-7.conf,21.07.16,21:13,0,51,56,100,
