RunNumber,BeamType,Nevents,Size,Config,Date,Time,VBB_DUT0,ITHR_DUT0,VCASN_DUT0,THRe_DUT0
run282192422_210713192428.raw,120 GeV hardons,1008446,616.8MB,ITS3-B1-flat.conf,21.07.13,19:24,-3,51,106,102
run282192423_210713210502.raw,120 GeV hardons,994474,609.1MB,ITS3-B1-flat.conf,21.07.13,21:05,-3,51,106,102
run282192424_210713215701.raw,120 GeV hardons,348419,213.0MB,ITS3-B1-flat.conf,21.07.13,21:57,-3,51,106,102
run282192425_210713224940.raw,120 GeV hardons,21,110.3KB,ITS3-B1-flat.conf,21.07.13,22:49,-3,51,106,102
run282230750_210713230755.raw,120 GeV hardons,1508,544.7KB,ITS3-B1flat.conf,21.07.13,23:07,-3,51,106,102
run282235300_210713235306.raw,120 GeV hardons,1006819,614.4MB,ITS3-B1flat.conf,21.07.13,23:53,-3,51,106,102
run282235301_210714015826.raw,120 GeV hardons,1003362,610.5MB,ITS3-B1flat.conf,21.07.14,1:58,-3,51,106,102
run282235302_210714024833.raw,120 GeV hardons,1002666,609.9MB,ITS3-B1flat.conf,21.07.14,2:48,-3,51,106,102
run282235303_210714033949.raw,120 GeV hardons,1003115,610.2MB,ITS3-B1flat.conf,21.07.14,3:39,-3,51,106,102
run282235304_210714043005.raw,120 GeV hardons,1003736,610.5MB,ITS3-B1flat.conf,21.07.14,4:30,-3,51,106,102
run282235305_210714052117.raw,120 GeV hardons,1004304,610.8MB,ITS3-B1flat.conf,21.07.14,5:21,-3,51,106,102
run282235306_210714061234.raw,120 GeV hardons,1003740,610.5MB,ITS3-B1flat.conf,21.07.14,6:12,-3,51,106,102
run282235307_210714070850.raw,120 GeV hardons,1002828,610.0MB,ITS3-B1flat.conf,21.07.14,7:08,-3,51,106,102
run282235308_210714075956.raw,120 GeV hardons,1006058,613.1MB,ITS3-B1flat.conf,21.07.14,7:59,-3,51,106,102
run282235309_210714084042.raw,120 GeV hardons,1005593,615.2MB,ITS3-B1flat.conf,21.07.14,8:40,-3,51,106,102
run282235310_210714085827.raw,120 GeV hardons,284289,173.3MB,ITS3-B1flat.conf,21.07.14,8:58,-3,51,106,102
run283100831_210714100836.raw,120 GeV hardons,259209,157.9MB,ITS3-B1flat.conf,21.07.14,10:08,-3,51,106,102
run283112456_210714112501.raw,120 GeV hardons,289,169.9KB,ITS3-B1flat.conf,21.07.14,11:25,-3,51,106,102
run283113100_210714113104.raw,120 GeV hardons,266464,159.1MB,ITS3-B1flat.conf,21.07.14,11:31,-3,51,106,102
run283172249_210714172254.raw,120 GeV hardons,175659,107.2MB,ITS3-B1flat.conf,21.07.14,17:22,-3,51,106,102
run283184647_210714184652.raw,120 GeV hardons,26216,16.1MB,ITS3-B1flat.conf,21.07.14,18:46,-3,51,106,102
run283200132_210714200136.raw,120 GeV hardons,32776,20.0MB,ITS3-B1flat.conf,21.07.14,20:01,-3,51,106,102
run283202453_210714202458.raw,120 GeV hardons,38399,23.4MB,ITS3-B1flat.conf,21.07.14,20:24,-3,51,106,102
run283204424_210714204428.raw,120 GeV hardons,2303,1.5MB,ITS3-B1flat.conf,21.07.14,20:44,-3,51,106,102
run283205525_210714205529.raw,120 GeV hardons,41315,24.0MB,ITS3-B1flat.conf,21.07.14,20:55,-3,51,106,102
run283222447_210714222453.raw,120 GeV hardons,366247,223.3MB,ITS3-B1flat.conf,21.07.14,22:24,-3,51,106,102
run283231417_210714231423.raw,120 GeV hardons,1005807,613.4MB,ITS3-B1flat.conf,21.07.14,23:14,-3,51,106,102
run283231418_210715005332.raw,120 GeV hardons,35486,21.8MB,ITS3-B1flat.conf,21.07.15,0:53,-3,51,106,102
run284010506_210715010510.raw,120 GeV hardons,1008339,614.2MB,ITS3-B1flat.conf,21.07.15,1:05,-3,51,106,102
run284010507_210715034442.raw,120 GeV hardons,1004602,613.3MB,ITS3-B1flat.conf,21.07.15,3:44,-3,51,106,102
run284010508_210715045411.raw,120 GeV hardons,1004568,613.3MB,ITS3-B1flat.conf,21.07.15,4:54,-3,51,106,102
run284010509_210715060518.raw,120 GeV hardons,1004533,613.3MB,ITS3-B1flat.conf,21.07.15,6:05,-3,51,106,102
run284010510_210715071716.raw,120 GeV hardons,1004633,613.1MB,ITS3-B1flat.conf,21.07.15,7:17,-3,51,106,102
run284010511_210715084006.raw,120 GeV hardons,205168,125.2MB,ITS3-B1flat.conf,21.07.15,8:40,-3,51,106,102
