RunNumber,BeamType,Nevents,Size,Config,Date,Time,VBB_Won-250um,ITHR_Won-250um,VCASN_Won-250um,THRe_Won-250um
run286165504_210717165510.raw,120 GeV hardons,309552,188.8MB,W-chip-conf-0.conf,21.07.17,16:55,0,51,44,438
run286165505_210717181107.raw,120 GeV hardons,303233,184.7MB,W-chip-conf-1.conf,21.07.17,18:11,0,51,46,317
run286165506_210717184432.raw,120 GeV hardons,302012,184.4MB,W-chip-conf-2.conf,21.07.17,18:44,0,51,48,236
run286165507_210717185028.raw,120 GeV hardons,304131,185.8MB,W-chip-conf-3.conf,21.07.17,18:50,0,51,50,183
run286165508_210717185621.raw,120 GeV hardons,305079,186.2MB,W-chip-conf-4.conf,21.07.17,18:56,0,51,52,147
run286165509_210717191236.raw,120 GeV hardons,307240,187.7MB,W-chip-conf-5.conf,21.07.17,19:12,0,51,54,122
run286165510_210717191819.raw,120 GeV hardons,308707,188.6MB,W-chip-conf-6.conf,21.07.17,19:18,0,51,56,103
run286165511_210717192436.raw,120 GeV hardons,301798,184.7MB,W-chip-conf-7.conf,21.07.17,19:24,0,51,58,90
run286165512_210717193020.raw,120 GeV hardons,303110,185.5MB,W-chip-conf-8.conf,21.07.17,19:30,0,51,60,79
run286165513_210717193623.raw,120 GeV hardons,300707,184.4MB,W-chip-conf-9.conf,21.07.17,19:36,0,51,63,67
run286165514_210717194227.raw,120 GeV hardons,302697,186.2MB,W-chip-conf-10.conf,21.07.17,19:42,0,51,66,57
run286165515_210717194821.raw,120 GeV hardons,305147,188.6MB,W-chip-conf-11.conf,21.07.17,19:48,0,51,69,48
run286204055_210717204100.raw,120 GeV hardons,305761,186.8MB,W-chip-conf-6.conf,21.07.17,20:41,0,51,56,103
run287122829_210718122834.raw,120 GeV hardons,303038,185.2MB,W-chip-conf-6.conf,21.07.18,12:28,0,51,56,103
run287122830_210718123508.raw,120 GeV hardons,305097,186.4MB,W-chip-conf-6.conf,21.07.18,12:35,0,51,56,103
run287122831_210718124143.raw,120 GeV hardons,303217,185.3MB,W-chip-conf-6.conf,21.07.18,12:41,0,51,56,103
run287122832_210718124850.raw,120 GeV hardons,304892,186.3MB,W-chip-conf-6.conf,21.07.18,12:48,0,51,56,103
run287122833_210718125524.raw,120 GeV hardons,305724,186.8MB,W-chip-conf-6.conf,21.07.18,12:55,0,51,56,103
run287122834_210718130203.raw,120 GeV hardons,300741,183.8MB,W-chip-conf-6.conf,21.07.18,13:02,0,51,56,103
run287122835_210718130831.raw,120 GeV hardons,308318,188.4MB,W-chip-conf-6.conf,21.07.18,13:08,0,51,56,103
run287122836_210718131444.raw,120 GeV hardons,303361,185.4MB,W-chip-conf-6.conf,21.07.18,13:14,0,51,56,103
run287122837_210718132128.raw,120 GeV hardons,305909,186.9MB,W-chip-conf-6.conf,21.07.18,13:21,0,51,56,103
