RunNumber,BeamType,Nevents,Size,Config,Date,Time,VBB_DUT0,ITHR_DUT0,VCASN_DUT0,THRe_DUT0,VBB_DUT1,ITHR_DUT1,VCASN_DUT1,THRe_DUT1,VBB_DUT2,ITHR_DUT2,VCASN_DUT2,THRe_DUT2,VBB_DUT3,ITHR_DUT3,VCASN_DUT3,THRe_DUT3,VBB_DUT4,ITHR_DUT4,VCASN_DUT4,THRe_DUT4,VBB_DUT5,ITHR_DUT5,VCASN_DUT5,THRe_DUT5
run291012925_210719041152.raw,120 GeV hardons,306133,414.5MB,uITS3g2_conf_3V_ithr_50-0.conf,21.07.19,04:11,-3,50,118,49,-3,50,117,50,-3,50,114,51,-3,50,114,51,-3,50,117,51,-3,50,119,50
run291012926_210719041807.raw,120 GeV hardons,306262,414.6MB,uITS3g2_conf_3V_ithr_50-1.conf,21.07.19,04:18,-3,50,114,59,-3,50,113,61,-3,50,111,60,-3,50,111,62,-3,50,114,58,-3,50,115,59
run291012927_210719042411.raw,120 GeV hardons,302596,409.6MB,uITS3g2_conf_3V_ithr_50-2.conf,21.07.19,04:24,-3,50,111,70,-3,50,111,69,-3,50,109,69,-3,50,109,72,-3,50,111,70,-3,50,112,70
run291012928_210719043035.raw,120 GeV hardons,309396,418.8MB,uITS3g2_conf_3V_ithr_50-3.conf,21.07.19,04:30,-3,50,109,80,-3,50,109,80,-3,50,107,82,-3,50,108,79,-3,50,109,81,-3,50,110,80
run291012929_210719043640.raw,120 GeV hardons,302402,409.3MB,uITS3g2_conf_3V_ithr_50-4.conf,21.07.19,04:36,-3,50,108,87,-3,50,108,86,-3,50,106,91,-3,50,107,88,-3,50,108,88,-3,50,109,87
run291012930_210719044308.raw,120 GeV hardons,307608,416.4MB,uITS3g2_conf_3V_ithr_50-5.conf,21.07.19,04:43,-3,50,107,96,-3,50,107,95,-3,50,105,102,-3,50,106,99,-3,50,107,97,-3,50,108,95
run291012931_210719044922.raw,120 GeV hardons,305370,413.3MB,uITS3g2_conf_3V_ithr_50-6.conf,21.07.19,04:49,-3,50,106,107,-3,50,106,106,-3,50,104,116,-3,50,105,113,-3,50,106,108,-3,50,107,106
run291012932_210719045549.raw,120 GeV hardons,305982,414.2MB,uITS3g2_conf_3V_ithr_50-7.conf,21.07.19,04:55,-3,50,105,121,-3,50,105,120,-3,50,104,116,-3,50,105,113,-3,50,105,123,-3,50,106,119
run291012933_210719050144.raw,120 GeV hardons,306587,414.9MB,uITS3g2_conf_3V_ithr_50-8.conf,21.07.19,05:01,-3,50,104,139,-3,50,104,138,-3,50,103,133,-3,50,104,131,-3,50,105,123,-3,50,105,136
run291012934_210719050829.raw,120 GeV hardons,304316,411.9MB,uITS3g2_conf_3V_ithr_50-9.conf,21.07.19,05:08,-3,50,104,139,-3,50,104,138,-3,50,103,133,-3,50,104,131,-3,50,104,141,-3,50,105,136
run291012935_210719051443.raw,120 GeV hardons,301014,407.4MB,uITS3g2_conf_3V_ithr_50-10.conf,21.07.19,05:14,-3,50,103,161,-3,50,103,160,-3,50,102,154,-3,50,103,152,-3,50,104,141,-3,50,104,157
run291012936_210719052038.raw,120 GeV hardons,300629,406.9MB,uITS3g2_conf_3V_ithr_50-11.conf,21.07.19,05:20,-3,50,103,161,-3,50,103,160,-3,50,102,154,-3,50,103,152,-3,50,103,163,-3,50,104,157
run291012937_210719052632.raw,120 GeV hardons,300704,407.0MB,uITS3g2_conf_3V_ithr_50-12.conf,21.07.19,05:26,-3,50,103,161,-3,50,103,160,-3,50,101,178,-3,50,102,179,-3,50,103,163,-3,50,103,183
run291012938_210719053237.raw,120 GeV hardons,301062,407.4MB,uITS3g2_conf_3V_ithr_50-13.conf,21.07.19,05:32,-3,50,102,187,-3,50,102,185,-3,50,101,178,-3,50,102,179,-3,50,102,189,-3,50,103,183
run291012939_210719053852.raw,120 GeV hardons,302159,408.9MB,uITS3g2_conf_3V_ithr_50-14.conf,21.07.19,05:38,-3,50,102,187,-3,50,102,185,-3,50,101,178,-3,50,102,179,-3,50,102,189,-3,50,103,183
run291012940_210719054446.raw,120 GeV hardons,302113,408.8MB,uITS3g2_conf_3V_ithr_50-15.conf,21.07.19,05:44,-3,50,102,187,-3,50,101,214,-3,50,100,208,-3,50,101,210,-3,50,102,189,-3,50,102,215
run291012941_210719055050.raw,120 GeV hardons,302663,409.6MB,uITS3g2_conf_3V_ithr_50-16.conf,21.07.19,05:50,-3,50,101,216,-3,50,101,214,-3,50,100,208,-3,50,101,210,-3,50,101,219,-3,50,102,215
run291012942_210719055645.raw,120 GeV hardons,302603,409.5MB,uITS3g2_conf_3V_ithr_50-17.conf,21.07.19,05:56,-3,50,101,216,-3,50,101,214,-3,50,100,208,-3,50,101,210,-3,50,101,219,-3,50,102,215
run291012943_210719060250.raw,120 GeV hardons,306557,414.8MB,uITS3g2_conf_3V_ithr_50-18.conf,21.07.19,06:02,-3,50,101,216,-3,50,101,214,-3,50,99,242,-3,50,100,248,-3,50,101,219,-3,50,102,215
run291012944_210719060917.raw,120 GeV hardons,305324,413.2MB,uITS3g2_conf_3V_ithr_50-19.conf,21.07.19,06:09,-3,50,100,250,-3,50,100,247,-3,50,99,242,-3,50,100,248,-3,50,100,253,-3,50,101,253
run291012945_210719061532.raw,120 GeV hardons,304609,412.1MB,uITS3g2_conf_3V_ithr_50-20.conf,21.07.19,06:15,-3,50,100,250,-3,50,100,247,-3,50,99,242,-3,50,100,248,-3,50,100,253,-3,50,101,253
run291012946_210719062146.raw,120 GeV hardons,306583,414.7MB,uITS3g2_conf_3V_ithr_50-21.conf,21.07.19,06:21,-3,50,100,250,-3,50,100,247,-3,50,99,242,-3,50,100,248,-3,50,100,253,-3,50,101,253
run291012947_210719062811.raw,120 GeV hardons,301336,407.6MB,uITS3g2_conf_3V_ithr_50-22.conf,21.07.19,06:28,-3,50,99,287,-3,50,99,284,-3,50,98,281,-3,50,99,292,-3,50,100,253,-3,50,101,253
