DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-00090611004E1D0B,DUT0,95,50,nan,nan
DAQ-00090611004E1D0B,DUT0,95,60,nan,nan
DAQ-00090611004E1D0B,DUT0,95,70,nan,nan
DAQ-00090611004E1D0B,DUT0,100,50,30.18,3.76
DAQ-00090611004E1D0B,DUT0,100,60,35.74,4.27
DAQ-00090611004E1D0B,DUT0,100,70,40.91,4.17
DAQ-00090611004E1D0B,DUT0,105,50,13.53,1.82
DAQ-00090611004E1D0B,DUT0,105,60,16.09,1.97
DAQ-00090611004E1D0B,DUT0,105,70,18.68,2.14
DAQ-00090611004E1D0B,DUT0,110,50,7.92,1.50
DAQ-00090611004E1D0B,DUT0,110,60,9.46,1.52
DAQ-00090611004E1D0B,DUT0,110,70,10.97,1.56
DAQ-00090611004E1D0B,DUT0,115,50,5.74,1.39
DAQ-00090611004E1D0B,DUT0,115,60,6.92,1.41
DAQ-00090611004E1D0B,DUT0,115,70,8.07,1.43
DAQ-00090611004E1D0B,DUT0,120,50,4.66,1.28
DAQ-00090611004E1D0B,DUT0,120,60,5.71,1.30
DAQ-00090611004E1D0B,DUT0,120,70,6.73,1.32
DAQ-00090611004E1D0B,DUT0,125,50,3.95,1.17
DAQ-00090611004E1D0B,DUT0,125,60,4.96,1.19
DAQ-00090611004E1D0B,DUT0,125,70,5.92,1.21
DAQ-00090611004E1D0B,DUT0,130,50,3.37,1.06
DAQ-00090611004E1D0B,DUT0,130,60,4.34,1.09
DAQ-00090611004E1D0B,DUT0,130,70,5.27,1.11
DAQ-000909250959121E,DUT1,95,60,nan,nan
DAQ-000909250959121E,DUT1,95,70,nan,nan
DAQ-000909250959121E,DUT1,100,50,28.89,3.70
DAQ-000909250959121E,DUT1,100,60,34.19,4.17
DAQ-000909250959121E,DUT1,100,70,39.30,4.16
DAQ-000909250959121E,DUT1,105,50,13.22,1.78
DAQ-000909250959121E,DUT1,105,60,15.74,1.92
DAQ-000909250959121E,DUT1,105,70,18.30,2.09
DAQ-000909250959121E,DUT1,110,50,7.89,1.43
DAQ-000909250959121E,DUT1,110,60,9.46,1.47
DAQ-000909250959121E,DUT1,110,70,11.01,1.50
DAQ-000909250959121E,DUT1,115,50,5.80,1.31
DAQ-000909250959121E,DUT1,115,60,7.04,1.34
DAQ-000909250959121E,DUT1,115,70,8.23,1.36
DAQ-000909250959121E,DUT1,120,50,4.76,1.20
DAQ-000909250959121E,DUT1,120,60,5.87,1.23
DAQ-000909250959121E,DUT1,120,70,6.93,1.26
DAQ-000909250959121E,DUT1,125,50,4.06,1.10
DAQ-000909250959121E,DUT1,125,60,5.11,1.12
DAQ-000909250959121E,DUT1,125,70,6.12,1.15
DAQ-000909250959121E,DUT1,130,50,3.48,1.00
DAQ-000909250959121E,DUT1,130,60,4.51,1.02
DAQ-000909250959121E,DUT1,130,70,5.49,1.05
DAQ-000909250959171E,DUT3,95,60,nan,nan
DAQ-000909250959171E,DUT3,95,70,nan,nan
DAQ-000909250959171E,DUT3,100,50,34.03,4.89
DAQ-000909250959171E,DUT3,100,60,39.63,5.00
DAQ-000909250959171E,DUT3,100,70,42.96,4.05
DAQ-000909250959171E,DUT3,105,50,14.76,2.20
DAQ-000909250959171E,DUT3,105,60,17.49,2.45
DAQ-000909250959171E,DUT3,105,70,20.25,2.72
DAQ-000909250959171E,DUT3,110,50,8.23,1.59
DAQ-000909250959171E,DUT3,110,60,9.78,1.65
DAQ-000909250959171E,DUT3,110,70,11.32,1.71
DAQ-000909250959171E,DUT3,115,50,5.77,1.42
DAQ-000909250959171E,DUT3,115,60,6.91,1.45
DAQ-000909250959171E,DUT3,115,70,8.03,1.48
DAQ-000909250959171E,DUT3,120,50,4.60,1.30
DAQ-000909250959171E,DUT3,120,60,5.61,1.32
DAQ-000909250959171E,DUT3,120,70,6.57,1.35
DAQ-000909250959171E,DUT3,125,50,3.86,1.19
DAQ-000909250959171E,DUT3,125,60,4.81,1.21
DAQ-000909250959171E,DUT3,125,70,5.72,1.24
DAQ-000909250959171E,DUT3,130,50,3.28,1.08
DAQ-000909250959171E,DUT3,130,60,4.19,1.11
DAQ-000909250959171E,DUT3,130,70,5.06,1.13
DAQ-000909250959062C,DUT4,95,60,nan,nan
DAQ-000909250959062C,DUT4,95,70,nan,nan
DAQ-000909250959062C,DUT4,100,50,32.74,3.84
DAQ-000909250959062C,DUT4,100,60,38.64,4.15
DAQ-000909250959062C,DUT4,100,70,43.36,3.52
DAQ-000909250959062C,DUT4,105,50,14.34,1.81
DAQ-000909250959062C,DUT4,105,60,17.11,1.97
DAQ-000909250959062C,DUT4,105,70,19.90,2.16
DAQ-000909250959062C,DUT4,110,50,8.07,1.45
DAQ-000909250959062C,DUT4,110,60,9.70,1.49
DAQ-000909250959062C,DUT4,110,70,11.31,1.52
DAQ-000909250959062C,DUT4,115,50,5.66,1.35
DAQ-000909250959062C,DUT4,115,60,6.88,1.37
DAQ-000909250959062C,DUT4,115,70,8.08,1.39
DAQ-000909250959062C,DUT4,120,50,4.50,1.25
DAQ-000909250959062C,DUT4,120,60,5.59,1.27
DAQ-000909250959062C,DUT4,120,70,6.63,1.30
DAQ-000909250959062C,DUT4,125,50,3.75,1.14
DAQ-000909250959062C,DUT4,125,60,4.78,1.17
DAQ-000909250959062C,DUT4,125,70,5.76,1.19
DAQ-000909250959062C,DUT4,130,50,3.16,1.04
DAQ-000909250959062C,DUT4,130,60,4.15,1.06
DAQ-000909250959062C,DUT4,130,70,5.10,1.09
DAQ-000909250959131E,DUT5,95,60,nan,nan
DAQ-000909250959131E,DUT5,95,70,nan,nan
DAQ-000909250959131E,DUT5,100,50,25.60,3.00
DAQ-000909250959131E,DUT5,100,60,30.28,3.43
DAQ-000909250959131E,DUT5,100,70,35.23,3.86
DAQ-000909250959131E,DUT5,105,50,11.65,1.61
DAQ-000909250959131E,DUT5,105,60,13.97,1.72
DAQ-000909250959131E,DUT5,105,70,16.29,1.84
DAQ-000909250959131E,DUT5,110,50,6.81,1.38
DAQ-000909250959131E,DUT5,110,60,8.26,1.40
DAQ-000909250959131E,DUT5,110,70,9.69,1.42
DAQ-000909250959131E,DUT5,115,50,4.85,1.28
DAQ-000909250959131E,DUT5,115,60,6.00,1.30
DAQ-000909250959131E,DUT5,115,70,7.10,1.32
DAQ-000909250959131E,DUT5,120,50,3.85,1.18
DAQ-000909250959131E,DUT5,120,60,4.87,1.20
DAQ-000909250959131E,DUT5,120,70,5.86,1.22
DAQ-000909250959131E,DUT5,125,50,3.17,1.07
DAQ-000909250959131E,DUT5,125,60,4.15,1.09
DAQ-000909250959131E,DUT5,125,70,5.08,1.11
DAQ-000909250959131E,DUT5,130,50,2.60,0.96
DAQ-000909250959131E,DUT5,130,60,3.54,0.99
DAQ-000909250959131E,DUT5,130,70,4.45,1.01
