DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-00090611004E1D0B,DUT0,95,50,47.67,1.35
DAQ-00090611004E1D0B,DUT0,95,60,nan,nan
DAQ-00090611004E1D0B,DUT0,95,70,nan,nan
DAQ-00090611004E1D0B,DUT0,100,50,24.96,2.72
DAQ-00090611004E1D0B,DUT0,100,60,29.97,3.16
DAQ-00090611004E1D0B,DUT0,100,70,35.07,3.59
DAQ-00090611004E1D0B,DUT0,105,50,12.12,1.67
DAQ-00090611004E1D0B,DUT0,105,60,14.49,1.75
DAQ-00090611004E1D0B,DUT0,105,70,16.86,1.84
DAQ-00090611004E1D0B,DUT0,110,50,7.50,1.50
DAQ-00090611004E1D0B,DUT0,110,60,8.98,1.52
DAQ-00090611004E1D0B,DUT0,110,70,10.43,1.54
DAQ-00090611004E1D0B,DUT0,115,50,5.60,1.41
DAQ-00090611004E1D0B,DUT0,115,60,6.78,1.42
DAQ-00090611004E1D0B,DUT0,115,70,7.91,1.44
DAQ-00090611004E1D0B,DUT0,120,50,4.60,1.29
DAQ-00090611004E1D0B,DUT0,120,60,5.67,1.31
DAQ-00090611004E1D0B,DUT0,120,70,6.69,1.33
DAQ-00090611004E1D0B,DUT0,125,50,3.91,1.17
DAQ-00090611004E1D0B,DUT0,125,60,4.93,1.20
DAQ-00090611004E1D0B,DUT0,125,70,5.90,1.22
DAQ-00090611004E1D0B,DUT0,130,50,3.33,1.07
DAQ-00090611004E1D0B,DUT0,130,60,4.32,1.09
DAQ-00090611004E1D0B,DUT0,130,70,5.26,1.11
DAQ-000909250959121E,DUT1,95,50,46.88,1.94
DAQ-000909250959121E,DUT1,95,60,nan,nan
DAQ-000909250959121E,DUT1,95,70,nan,nan
DAQ-000909250959121E,DUT1,100,50,24.70,3.49
DAQ-000909250959121E,DUT1,100,60,29.62,4.07
DAQ-000909250959121E,DUT1,100,70,34.52,4.55
DAQ-000909250959121E,DUT1,105,50,12.04,1.93
DAQ-000909250959121E,DUT1,105,60,14.39,2.08
DAQ-000909250959121E,DUT1,105,70,16.69,2.25
DAQ-000909250959121E,DUT1,110,50,7.41,1.59
DAQ-000909250959121E,DUT1,110,60,8.88,1.63
DAQ-000909250959121E,DUT1,110,70,10.29,1.68
DAQ-000909250959121E,DUT1,115,50,5.50,1.45
DAQ-000909250959121E,DUT1,115,60,6.64,1.48
DAQ-000909250959121E,DUT1,115,70,7.73,1.51
DAQ-000909250959121E,DUT1,120,50,4.48,1.33
DAQ-000909250959121E,DUT1,120,60,5.51,1.36
DAQ-000909250959121E,DUT1,120,70,6.49,1.39
DAQ-000909250959121E,DUT1,125,50,3.78,1.22
DAQ-000909250959121E,DUT1,125,60,4.77,1.25
DAQ-000909250959121E,DUT1,125,70,5.70,1.27
DAQ-000909250959121E,DUT1,130,50,3.19,1.11
DAQ-000909250959121E,DUT1,130,60,4.15,1.14
DAQ-000909250959121E,DUT1,130,70,5.05,1.17
DAQ-000909250959201E,DUT2,95,60,48.01,1.24
DAQ-000909250959201E,DUT2,95,70,nan,nan
DAQ-000909250959201E,DUT2,100,50,20.76,2.32
DAQ-000909250959201E,DUT2,100,60,24.65,2.60
DAQ-000909250959201E,DUT2,100,70,28.67,2.94
DAQ-000909250959201E,DUT2,105,50,10.19,1.53
DAQ-000909250959201E,DUT2,105,60,12.20,1.57
DAQ-000909250959201E,DUT2,105,70,14.20,1.62
DAQ-000909250959201E,DUT2,110,50,6.44,1.42
DAQ-000909250959201E,DUT2,110,60,7.78,1.43
DAQ-000909250959201E,DUT2,110,70,9.07,1.45
DAQ-000909250959201E,DUT2,115,50,4.85,1.34
DAQ-000909250959201E,DUT2,115,60,5.95,1.35
DAQ-000909250959201E,DUT2,115,70,7.01,1.37
DAQ-000909250959201E,DUT2,120,50,3.97,1.23
DAQ-000909250959201E,DUT2,120,60,4.98,1.25
DAQ-000909250959201E,DUT2,120,70,5.95,1.27
DAQ-000909250959201E,DUT2,125,50,3.31,1.12
DAQ-000909250959201E,DUT2,125,60,4.29,1.15
DAQ-000909250959201E,DUT2,125,70,5.22,1.17
DAQ-000909250959201E,DUT2,130,50,2.76,1.02
DAQ-000909250959201E,DUT2,130,60,3.71,1.04
DAQ-000909250959201E,DUT2,130,70,4.62,1.06
DAQ-000909250959171E,DUT3,95,60,nan,nan
DAQ-000909250959171E,DUT3,95,70,nan,nan
DAQ-000909250959171E,DUT3,100,50,24.79,2.70
DAQ-000909250959171E,DUT3,100,60,29.40,3.07
DAQ-000909250959171E,DUT3,100,70,34.12,3.47
DAQ-000909250959171E,DUT3,105,50,11.31,1.59
