DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-00090611004E1D0B,DUT0,45,50,32.58,3.92
DAQ-00090611004E1D0B,DUT0,45,60,38.61,4.13
DAQ-00090611004E1D0B,DUT0,50,50,16.11,2.42
DAQ-00090611004E1D0B,DUT0,50,60,19.07,2.55
DAQ-00090611004E1D0B,DUT0,55,50,9.88,1.94
DAQ-00090611004E1D0B,DUT0,55,60,11.80,2.00
DAQ-00090611004E1D0B,DUT0,60,50,6.98,1.64
DAQ-00090611004E1D0B,DUT0,60,60,8.53,1.70
DAQ-00090611004E1D0B,DUT0,65,50,5.19,1.37
DAQ-00090611004E1D0B,DUT0,65,60,6.60,1.42
DAQ-00090611004E1D0B,DUT0,70,50,3.81,1.11
DAQ-00090611004E1D0B,DUT0,70,60,5.10,1.19
DAQ-00090611004E1D0B,DUT0,75,50,2.75,0.80
DAQ-00090611004E1D0B,DUT0,75,60,3.76,0.97
DAQ-000909250959121E,DUT1,45,50,31.56,4.47
DAQ-000909250959121E,DUT1,45,60,37.46,4.69
DAQ-000909250959121E,DUT1,50,50,15.62,2.66
DAQ-000909250959121E,DUT1,50,60,18.60,2.87
DAQ-000909250959121E,DUT1,55,50,9.44,2.07
DAQ-000909250959121E,DUT1,55,60,11.38,2.17
DAQ-000909250959121E,DUT1,60,50,6.52,1.73
DAQ-000909250959121E,DUT1,60,60,8.05,1.81
DAQ-000909250959121E,DUT1,65,50,4.71,1.44
DAQ-000909250959121E,DUT1,65,60,6.08,1.53
DAQ-000909250959121E,DUT1,70,50,3.42,1.13
DAQ-000909250959121E,DUT1,70,60,4.56,1.28
DAQ-000909250959121E,DUT1,75,60,3.22,0.96
DAQ-000909250959201E,DUT2,45,60,29.34,3.25
DAQ-000909250959201E,DUT2,50,50,12.45,1.97
DAQ-000909250959201E,DUT2,50,60,14.95,2.06
DAQ-000909250959201E,DUT2,55,50,7.70,1.64
DAQ-000909250959201E,DUT2,55,60,9.43,1.69
DAQ-000909250959201E,DUT2,60,50,5.32,1.38
DAQ-000909250959201E,DUT2,60,60,6.77,1.44
DAQ-000909250959201E,DUT2,65,50,3.77,1.15
DAQ-000909250959201E,DUT2,65,60,5.07,1.21
DAQ-000909250959201E,DUT2,70,50,2.72,0.85
DAQ-000909250959201E,DUT2,70,60,3.70,1.01
DAQ-000909250959171E,DUT3,45,60,33.26,3.63
DAQ-000909250959171E,DUT3,50,50,13.41,2.04
DAQ-000909250959171E,DUT3,50,60,16.10,2.15
DAQ-000909250959171E,DUT3,55,50,7.94,1.68
DAQ-000909250959171E,DUT3,55,60,9.70,1.74
DAQ-000909250959171E,DUT3,60,50,5.32,1.43
DAQ-000909250959171E,DUT3,60,60,6.76,1.49
DAQ-000909250959171E,DUT3,65,50,3.72,1.18
DAQ-000909250959171E,DUT3,65,60,4.99,1.25
DAQ-000909250959171E,DUT3,70,50,2.69,0.87
DAQ-000909250959171E,DUT3,70,60,3.61,1.03
DAQ-000909250959062C,DUT4,45,60,36.34,4.56
DAQ-000909250959062C,DUT4,50,50,15.48,2.47
DAQ-000909250959062C,DUT4,50,60,18.33,2.65
DAQ-000909250959062C,DUT4,55,50,9.53,1.93
DAQ-000909250959062C,DUT4,55,60,11.39,2.01
DAQ-000909250959062C,DUT4,60,50,6.68,1.61
DAQ-000909250959062C,DUT4,60,60,8.17,1.68
DAQ-000909250959062C,DUT4,65,50,4.90,1.35
DAQ-000909250959062C,DUT4,65,60,6.24,1.42
DAQ-000909250959062C,DUT4,70,50,3.53,1.09
DAQ-000909250959062C,DUT4,70,60,4.74,1.19
DAQ-000909250959062C,DUT4,75,50,2.57,0.74
DAQ-000909250959062C,DUT4,75,60,3.43,0.95
DAQ-000909250959131E,DUT5,45,60,40.65,3.83
DAQ-000909250959131E,DUT5,50,50,16.94,2.34
DAQ-000909250959131E,DUT5,50,60,20.07,2.49
DAQ-000909250959131E,DUT5,55,50,10.27,1.88
DAQ-000909250959131E,DUT5,55,60,12.27,1.95
DAQ-000909250959131E,DUT5,60,50,7.19,1.59
DAQ-000909250959131E,DUT5,60,60,8.79,1.65
DAQ-000909250959131E,DUT5,65,50,5.33,1.33
DAQ-000909250959131E,DUT5,65,60,6.75,1.39
DAQ-000909250959131E,DUT5,70,50,3.89,1.09
DAQ-000909250959131E,DUT5,70,60,5.22,1.16
DAQ-000909250959131E,DUT5,75,50,2.83,0.78
DAQ-000909250959131E,DUT5,75,60,3.82,0.95
