DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-000904250114120A,A1,45,51,34.06,3.80
DAQ-000904250114120A,A1,47,51,25.21,2.98
DAQ-000904250114120A,A1,50,51,17.24,2.34
DAQ-000904250114120A,A1,52,51,13.99,2.11
DAQ-000904250114120A,A1,55,51,10.81,1.87
DAQ-000904250114120A,A1,57,51,9.35,1.75
DAQ-000904250114120A,A1,60,51,7.77,1.59
DAQ-000904250114120A,A1,62,51,6.95,1.48
DAQ-000904250114120A,A1,65,51,5.94,1.33
DAQ-000904250114120A,A1,67,51,5.33,1.23
DAQ-000904250114120A,A1,70,51,4.50,1.11
DAQ-000904250114120A,A1,72,51,3.97,1.02
DAQ-000904250114120A,A1,75,51,3.31,0.85
DAQ-000904250114120A,A1,77,51,nan,nan
DAQ-000904250114120A,A1,80,51,nan,nan
