DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-00090611004E1D0B,DUT0,45,50,32.65,3.69
DAQ-00090611004E1D0B,DUT0,45,60,38.64,3.82
DAQ-00090611004E1D0B,DUT0,45,70,43.35,3.12
DAQ-00090611004E1D0B,DUT0,50,50,17.04,2.33
DAQ-00090611004E1D0B,DUT0,50,60,20.16,2.48
DAQ-00090611004E1D0B,DUT0,50,70,23.27,2.63
DAQ-00090611004E1D0B,DUT0,55,50,10.87,1.88
DAQ-00090611004E1D0B,DUT0,55,60,12.94,1.96
DAQ-00090611004E1D0B,DUT0,55,70,14.94,2.04
DAQ-00090611004E1D0B,DUT0,60,50,7.86,1.59
DAQ-00090611004E1D0B,DUT0,60,60,9.54,1.65
DAQ-00090611004E1D0B,DUT0,60,70,11.16,1.72
DAQ-00090611004E1D0B,DUT0,65,50,5.96,1.33
DAQ-00090611004E1D0B,DUT0,65,60,7.47,1.40
DAQ-00090611004E1D0B,DUT0,65,70,8.92,1.46
DAQ-00090611004E1D0B,DUT0,70,50,4.42,1.10
DAQ-00090611004E1D0B,DUT0,70,60,5.84,1.17
DAQ-00090611004E1D0B,DUT0,70,70,7.21,1.23
DAQ-00090611004E1D0B,DUT0,75,50,3.16,0.80
DAQ-00090611004E1D0B,DUT0,75,60,nan,nan
DAQ-00090611004E1D0B,DUT0,75,70,5.63,1.05
DAQ-00090611004E1D0B,DUT0,80,50,nan,nan
DAQ-00090611004E1D0B,DUT0,80,60,nan,nan
DAQ-00090611004E1D0B,DUT0,80,70,nan,nan
DAQ-000909250959121E,DUT1,45,60,43.59,2.33
DAQ-000909250959121E,DUT1,45,70,45.02,1.61
DAQ-000909250959121E,DUT1,50,50,20.97,2.63
DAQ-000909250959121E,DUT1,50,60,24.71,2.80
DAQ-000909250959121E,DUT1,50,70,28.41,2.99
DAQ-000909250959121E,DUT1,55,50,13.34,2.10
DAQ-000909250959121E,DUT1,55,60,15.74,2.19
DAQ-000909250959121E,DUT1,55,70,18.08,2.27
DAQ-000909250959121E,DUT1,60,50,9.78,1.77
DAQ-000909250959121E,DUT1,60,60,11.70,1.84
DAQ-000909250959121E,DUT1,60,70,13.52,1.91
DAQ-000909250959121E,DUT1,65,50,7.58,1.48
DAQ-000909250959121E,DUT1,65,60,9.30,1.55
DAQ-000909250959121E,DUT1,65,70,10.94,1.62
DAQ-000909250959121E,DUT1,70,50,5.84,1.23
DAQ-000909250959121E,DUT1,70,60,7.46,1.30
DAQ-000909250959121E,DUT1,70,70,8.99,1.37
DAQ-000909250959121E,DUT1,75,50,nan,nan
DAQ-000909250959121E,DUT1,75,60,5.74,1.10
DAQ-000909250959121E,DUT1,75,70,7.22,1.17
DAQ-000909250959121E,DUT1,80,50,nan,nan
DAQ-000909250959121E,DUT1,80,60,nan,nan
DAQ-000909250959121E,DUT1,80,70,5.22,1.04
DAQ-000909250959201E,DUT2,45,70,46.38,1.99
DAQ-000909250959201E,DUT2,50,50,19.83,2.68
DAQ-000909250959201E,DUT2,50,60,23.02,2.82
DAQ-000909250959201E,DUT2,50,70,26.27,3.00
DAQ-000909250959201E,DUT2,55,50,12.24,2.03
DAQ-000909250959201E,DUT2,55,60,14.37,2.11
DAQ-000909250959201E,DUT2,55,70,16.47,2.18
DAQ-000909250959201E,DUT2,60,50,8.97,1.69
DAQ-000909250959201E,DUT2,60,60,10.70,1.76
DAQ-000909250959201E,DUT2,60,70,12.36,1.82
DAQ-000909250959201E,DUT2,65,50,7.05,1.42
DAQ-000909250959201E,DUT2,65,60,8.62,1.48
DAQ-000909250959201E,DUT2,65,70,10.11,1.54
DAQ-000909250959201E,DUT2,70,50,5.57,1.18
DAQ-000909250959201E,DUT2,70,60,7.05,1.24
DAQ-000909250959201E,DUT2,70,70,8.47,1.30
DAQ-000909250959201E,DUT2,75,50,4.20,0.97
DAQ-000909250959201E,DUT2,75,60,5.65,1.04
DAQ-000909250959201E,DUT2,75,70,7.03,1.10
DAQ-000909250959201E,DUT2,80,50,nan,nan
DAQ-000909250959201E,DUT2,80,60,nan,nan
DAQ-000909250959201E,DUT2,80,70,nan,nan
DAQ-000909250959171E,DUT3,45,60,39.56,3.90
DAQ-000909250959171E,DUT3,45,70,44.04,3.04
DAQ-000909250959171E,DUT3,50,50,17.01,2.43
DAQ-000909250959171E,DUT3,50,60,20.14,2.59
DAQ-000909250959171E,DUT3,50,70,23.26,2.76
DAQ-000909250959171E,DUT3,55,50,10.55,1.95
DAQ-000909250959171E,DUT3,55,60,12.54,2.03
DAQ-000909250959171E,DUT3,55,70,14.49,2.12
DAQ-000909250959171E,DUT3,60,50,7.48,1.64
DAQ-000909250959171E,DUT3,60,60,9.06,1.72
DAQ-000909250959171E,DUT3,60,70,10.58,1.79
DAQ-000909250959171E,DUT3,65,50,5.60,1.38
DAQ-000909250959171E,DUT3,65,60,7.01,1.45
DAQ-000909250959171E,DUT3,65,70,8.35,1.52
DAQ-000909250959171E,DUT3,70,50,4.15,1.15
DAQ-000909250959171E,DUT3,70,60,5.45,1.23
DAQ-000909250959171E,DUT3,70,70,6.71,1.29
DAQ-000909250959171E,DUT3,75,50,nan,nan
DAQ-000909250959171E,DUT3,75,60,nan,nan
DAQ-000909250959171E,DUT3,75,70,5.22,1.10
DAQ-000909250959171E,DUT3,80,50,nan,nan
DAQ-000909250959171E,DUT3,80,60,nan,nan
DAQ-000909250959171E,DUT3,80,70,nan,nan
DAQ-000909250959062C,DUT4,45,60,41.61,3.59
DAQ-000909250959062C,DUT4,45,70,45.30,2.46
DAQ-000909250959062C,DUT4,50,50,17.88,2.38
DAQ-000909250959062C,DUT4,50,60,21.24,2.54
DAQ-000909250959062C,DUT4,50,70,24.61,2.71
DAQ-000909250959062C,DUT4,55,50,11.00,1.90
DAQ-000909250959062C,DUT4,55,60,13.14,1.99
DAQ-000909250959062C,DUT4,55,70,15.24,2.07
DAQ-000909250959062C,DUT4,60,50,7.76,1.61
DAQ-000909250959062C,DUT4,60,60,9.46,1.68
DAQ-000909250959062C,DUT4,60,70,11.10,1.74
DAQ-000909250959062C,DUT4,65,50,5.80,1.35
DAQ-000909250959062C,DUT4,65,60,7.30,1.42
DAQ-000909250959062C,DUT4,65,70,8.76,1.48
DAQ-000909250959062C,DUT4,70,50,4.27,1.12
DAQ-000909250959062C,DUT4,70,60,5.67,1.19
DAQ-000909250959062C,DUT4,70,70,7.03,1.26
DAQ-000909250959062C,DUT4,75,50,3.17,0.81
DAQ-000909250959062C,DUT4,75,60,4.19,0.99
DAQ-000909250959062C,DUT4,75,70,5.47,1.07
DAQ-000909250959062C,DUT4,80,50,nan,nan
DAQ-000909250959062C,DUT4,80,60,nan,nan
DAQ-000909250959062C,DUT4,80,70,nan,nan
DAQ-000909250959131E,DUT5,45,60,39.91,3.84
DAQ-000909250959131E,DUT5,45,70,44.17,2.93
DAQ-000909250959131E,DUT5,50,50,17.05,2.38
DAQ-000909250959131E,DUT5,50,60,20.25,2.53
DAQ-000909250959131E,DUT5,50,70,23.44,2.70
DAQ-000909250959131E,DUT5,55,50,10.49,1.92
DAQ-000909250959131E,DUT5,55,60,12.55,2.00
DAQ-000909250959131E,DUT5,55,70,14.54,2.07
DAQ-000909250959131E,DUT5,60,50,7.36,1.62
DAQ-000909250959131E,DUT5,60,60,9.01,1.69
DAQ-000909250959131E,DUT5,60,70,10.59,1.75
DAQ-000909250959131E,DUT5,65,50,5.43,1.36
DAQ-000909250959131E,DUT5,65,60,6.90,1.42
DAQ-000909250959131E,DUT5,65,70,8.30,1.48
DAQ-000909250959131E,DUT5,70,50,3.91,1.10
DAQ-000909250959131E,DUT5,70,60,5.26,1.19
DAQ-000909250959131E,DUT5,70,70,6.58,1.24
DAQ-000909250959131E,DUT5,75,50,nan,nan
DAQ-000909250959131E,DUT5,75,60,3.82,0.95
DAQ-000909250959131E,DUT5,75,70,5.00,1.06
DAQ-000909250959131E,DUT5,80,50,nan,nan
DAQ-000909250959131E,DUT5,80,60,nan,nan
